ID,MId,SId,Image,Name,Element,Damage,Description,Code,MB,Notes,Other Properties,Version,,,,,,,,,,,,,,,
7,,242,image203.png,AquaMan,Aqua,50,Watr atk! Bhnd 2row power-up,* Lotto Number (51702791),42,"Hits 3 times in a line if used on 2 leftmost columns, or hits 2 panels ahead and cracks panels if used elsewhere (blocked by obstacles).",,CF,,,,,,,,,,,,,,,
7,,242,image204.png,AquaMan,Aqua,50,Watr atk! Bhnd 2row power-up,A AquaMan v1/EX/SP,42,"Hits 3 times in a line if used on 2 leftmost columns, or hits 2 panels ahead and cracks panels if used elsewhere (blocked by obstacles).",,CF,,,,,,,,,,,,,,,
8,,243,image218.png,AquaMnEX,Aqua,60,Watr atk! Bhnd 2row power-up,A AquaMan EX/SP,56,"Hits 3 times in a line if used on 2 leftmost columns, or hits 2 panels ahead and cracks panels if used elsewhere (blocked by obstacles).",,CF,,,,,,,,,,,,,,,
9,,244,image225.png,AquaMnSP,Aqua,70-120,Watr atk! Bhnd 2row power-up,A AquaMan SP,78,"Hits 3 times in a line if used on 2 leftmost columns, or hits 2 panels ahead and cracks panels if used elsewhere (blocked by obstacles).",,CF,,,,,,,,,,,,,,,
22,1,,image211.png,BlastMan,Fire,120,Head fwd & launch blst attk,* Lotto Number (24616497),30,"Can be used over broken/hole panels, and spawns 3 fireballs from the rows above, behind, and below Megaman (blocked by obstacles).",,CG/CF,,,,,,,,,,,,,,,
22,1,,image212.png,BlastMan,Fire,120,Head fwd & launch blst attk,B BlastMan EX/SP,30,"Can be used over broken/hole panels, and spawns 3 fireballs from the rows above, behind, and below Megaman (blocked by obstacles).",,CG/CF,,,,,,,,,,,,,,,
23,2,,image216.png,BlastMnEX,Fire,140,Head fwd & launch blst attk,B BlastMan EX/SP,49,"Can be used over broken/hole panels, and spawns 3 fireballs from the rows above, behind, and below Megaman (blocked by obstacles).",,CG/CF,,,,,,,,,,,,,,,
24,3,,image215.png,BlastMnSP,Fire,150-250,Head fwd & launch blst attk,B BlastMan SP,68,"Can be used over broken/hole panels, and spawns 3 fireballs from the rows above, behind, and below Megaman (blocked by obstacles).",,CG/CF,,,,,,,,,,,,,,,
19,,239,image209.png,ChrgeMan,,60,Rush fwd! Open panl hit TrCar,* Lotto Number 92070765),42,"Spawns a train car on each empty, non-broken/hole panel behind MegaMan (stops on holes). ",Pseduo-Break,CG,,,,,,,,,,,,,,,
19,,239,image208.png,ChrgeMan,,60,Rush fwd! Open panl hit TrCar,C ChargeMan v1/EX/SP,42,"Spawns a train car on each empty, non-broken/hole panel behind MegaMan (stops on holes). ",Pseduo-Break,CG,,,,,,,,,,,,,,,
20,,240,image221.png,ChrgeMnEX,,70,Rush fwd! Open panl hit TrCar,C ChargeMan EX/SP,63,"Spawns a train car on each empty, non-broken/hole panel behind MegaMan (stops on holes). ",Pseduo-Break,CG,,,,,,,,,,,,,,,
21,,241,image205.png,ChrgeMnSP,,80-130,Rush fwd! Open panl hit TrCar,C ChargeMan SP,81,"Spawns a train car on each empty, non-broken/hole panel behind MegaMan (stops on holes). ",Pseduo-Break,CG,,,,,,,,,,,,,,,
37,16,,image206.png,Colonel,Sword,160,Cut enmy lines in Z shape,"* Request BBS ""Track the Criminal""",45,Only hits the enemy's initial 3x3 area.,,CG/CF,,,,,,,,,,,,,,,
37,16,,image207.png,Colonel,Sword,160,Cut enmy lines in Z shape,C Colonel EX/SP,45,Only hits the enemy's initial 3x3 area.,,CG/CF,,,,,,,,,,,,,,,
38,17,,image213.png,ColonelEX,Sword,180,Cut enmy lines in Z shape,C Colonel EX/SP,70,Only hits the enemy's initial 3x3 area.,,CG/CF,,,,,,,,,,,,,,,
39,18,,image217.png,ColonelSP,Sword,200-300,Cut enmy lines in Z shape,C Colonel SP,91,Only hits the enemy's initial 3x3 area.,,CG/CF,,,,,,,,,,,,,,,
40,19,,image231.png,Count*,,20,Rain on enmy then lance atk,* Lotto Number (12110031),60,"Only hits the enemy's initial 3x3 area, hitting 5 times with an additional hit if the enemy is on a normal panel.",,CG/CF,,,,,,,,,,,,,,,
40,19,,image210.png,Count*,,20,Rain on enmy then lance atk,H Complete the Boktai sidequest,60,"Only hits the enemy's initial 3x3 area, hitting 5+ times with an additional 50 damage hit if the enemy is on a normal panel.",,CG/CF,,,,,,,,,,,,,,,
40,19,,image214.png,Count*,,20,Rain on enmy then lance atk,H Count EX/SP,60,"Only hits the enemy's initial 3x3 area, hitting 5+ times with an additional 50 damage hit if the enemy is on a normal panel.",,CG/CF,,,,,,,,,,,,,,,
41,20,,image226.png,CountEX*,,25,Rain on enmy then lance atk,H Count EX/SP,75,"Only hits the enemy's initial 3x3 area, hitting 5+ times with an additional 70 damage hit if the enemy is on a normal panel.",,CG/CF,,,,,,,,,,,,,,,
