,ID,SId,Image,Name,Element,Damage,Description,Code,MB,Notes,Other Properties,Version,,,,,,,,,,,,,,,
,1,1,image1.png,Cannon,,40,Cannon attack to 1 enemy,"* ExpoFldr, Robot Control Comp 2 GMD",6,,,CG/CF,,,,,,,,,,,,,,,
,1,1,image1.png,Cannon,,40,Cannon attack to 1 enemy,"A LanFldr, ExpoFldr, GiftFldr, Chip Order",6,,,CG/CF,,,,,,,,,,,,,,,
,1,1,image1.png,Cannon,,40,Cannon attack to 1 enemy,"B LanFldr, ExpoFldr, GiftFldr",6,,,CG/CF,,,,,,,,,,,,,,,
,1,1,image1.png,Cannon,,40,Cannon attack to 1 enemy,"C ExpoFldr, Robot Control Comp 1 GMD",6,,,CG/CF,,,,,,,,,,,,,,,
,2,2,image2.png,HiCannon,,100,Cannon attack to 1 enemy,* JudgeTree Comp 1 GMD,24,,,CG/CF,,,,,,,,,,,,,,,
,2,2,image2.png,HiCannon,,100,Cannon attack to 1 enemy,"L ExpoFldr, Central Area 3 BMD, Aquarium Comp 1 GMD, Chip Order",24,,,CG/CF,,,,,,,,,,,,,,,
,2,2,image2.png,HiCannon,,100,Cannon attack to 1 enemy,"M Aquarium Comp 3 BMD, Green Area 1 GMD",24,,,CG/CF,,,,,,,,,,,,,,,
,2,2,image2.png,HiCannon,,100,Cannon attack to 1 enemy,N Seaside Area 1 GMD,24,,,CG/CF,,,,,,,,,,,,,,,
,3,3,image7.png,M-Cannon,,180,Cannon attack to 1 enemy,* Mascot Comp BMD,38,,,CG/CF,,,,,,,,,,,,,,,
,3,3,image7.png,M-Cannon,,180,Cannon attack to 1 enemy,"R SoulFldr, Mr. Weather Comp 3 GMD, Chip Order",38,,,CG/CF,,,,,,,,,,,,,,,
,3,3,image7.png,M-Cannon,,180,Cannon attack to 1 enemy,"S SoulFldr, Sky Area 2 BMD",38,,,CG/CF,,,,,,,,,,,,,,,
,3,3,image7.png,M-Cannon,,180,Cannon attack to 1 enemy,"T SoulFldr, Aquarium Comp 3 GMD",38,,,CG/CF,,,,,,,,,,,,,,,
,4,4,image9.png,AirShot,Wind,20,Knock enmy back 1 square,"* LanFldr, GiftFldr, Chip Order",4,,,CG/CF,,,,,,,,,,,,,,,
,5,5,image8.png,Vulcan1,,10,3-shot to pierce 1 panel!,* Robot Control Comp 2 GMD,5,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,5,5,image8.png,Vulcan1,,10,3-shot to pierce 1 panel!,B Central Area 1 GMD,5,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,5,5,image8.png,Vulcan1,,10,3-shot to pierce 1 panel!,"D LanFldr, GiftFldr, Central Area 3 GMD, Chip Order",5,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,5,5,image8.png,Vulcan1,,10,3-shot to pierce 1 panel!,S Chip Trader,5,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,6,6,image5.png,Vulcan2,,15,4-shot to pierce 1 panel!,"D ExpoFldr, JudgeTree Comp 1 GMD, Seaside Area 2 BMD",18,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,6,6,image5.png,Vulcan2,,15,4-shot to pierce 1 panel!,"F Aquarium Comp 2 GMD, Chip Order",18,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,6,6,image5.png,Vulcan2,,15,4-shot to pierce 1 panel!,L Green Area 1 GMD,18,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,7,7,image3.png,Vulcan3,,20,5-shot to pierce 1 panel!,"A Pavilion Comp 4 GMD, Sky HP BMD, Chip Order",30,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,7,7,image3.png,Vulcan3,,20,5-shot to pierce 1 panel!,G Sky Area 2 GMD,30,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,7,7,image3.png,Vulcan3,,20,5-shot to pierce 1 panel!,"R Mr. Weather Comp 1 GMD, Seaside Areas YMD",30,Anything behind the target will be hit as well.,,CG/CF,,,,,,,,,,,,,,,
,8,8,image4.png,SuprVulc,,20,10-shot vulcan cannon!,"V (JP) (LC) Underground 2 PMD, Green Areas YMD, (EN) 5th Virus Battler (Central Area 1), Patch Card, Chip Order",75,,,CG/CF,,,,,,,,,,,,,,,
,9,9,image6.png,Spreadr1,,30,Spreads damg to adj panels,* Seaside Area 1 GMD,10,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,9,9,image6.png,Spreadr1,,30,Spreads damg to adj panels,L Central Area 2 NetMerchant (600 Z),10,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,9,9,image6.png,Spreadr1,,30,Spreads damg to adj panels,"M Robot Control Comp 1 BMD, Chip Order",10,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,9,9,image6.png,Spreadr1,,30,Spreads damg to adj panels,N Central Area 3 GMD,10,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,10,10,image10.png,Spreadr2,,60,Spreads damg to adj panels,* Judge Tree Comp 3 GMD,18,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,10,10,image10.png,Spreadr2,,60,Spreads damg to adj panels,A AquarumComp3 GMD,18,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,10,10,image10.png,Spreadr2,,60,Spreads damg to adj panels,"B Green Area 2 GMD, Chip Order",18,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,10,10,image10.png,Spreadr2,,60,Spreads damg to adj panels,C Green Area 1 BMD,18,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,11,11,image13.png,Spreadr3,,90,Spreads damg to adj panels,* Pavilion Comp 1 BMD,26,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,11,11,image13.png,Spreadr3,,90,Spreads damg to adj panels,Q Mr. WeatherComp 2 GMD,26,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,11,11,image13.png,Spreadr3,,90,Spreads damg to adj panels,"R Request BBS ""Want Meet Dghtr"", Seaside Areas YMD, Chip Order",26,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,11,11,image13.png,Spreadr3,,90,Spreads damg to adj panels,S Mr. Weather Comp 1 BMD,26,,Non-Flashing,CG/CF,,,,,,,,,,,,,,,
,12,12,image18.png,TankCan1,,120,3sqr blst if hits end row,A Catack Rank 10-S,17,,,CG/CF,,,,,,,,,,,,,,,
,12,12,image18.png,TankCan1,,120,3sqr blst if hits end row,G Catack Rank 7-9 (CG),17,,,CG/CF,,,,,,,,,,,,,,,
